Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0019275,0.0022194,-0.052321,0,0,0,0.89607,0.0016514,1.4573E-06,-2.3256E-07,0.0017986,-2.7292E-07,0.003277,0,0,0,0,0,0,package://myam_sys/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://myam_sys/meshes/base_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Center Frame Top Inner Board-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Center Frame Top Outer Board-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Lock Knob-4;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Lock Knob-5;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Lock Knob-6;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Lock Knob-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Lock Knob-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Lock Knob-3;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Wing Bracket-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Wing Bracket-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Arm-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Arm-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Motor Encasement-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Motor Encasement-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Wing Bracket Black-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Arm-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Black Motor-1/DJI S900 Motor Encasement Black-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Wing Bracket Black-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Arm-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Black Motor-1/DJI S900 Motor Encasement Black-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Arm-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Wing Bracket Black-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Wing Bracket Black-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Arm-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Black Motor-1/DJI S900 Motor Encasement Black-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Black Motor-1/DJI S900 Motor Top Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Black Motor-1/DJI S900 Motor Top Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Black Motor-1/DJI S900 Motor Top Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Black Motor-1/DJI S900 Motor Encasement Black-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Motor Top Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Black Motor-1/DJI S900 Motor Top Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Motor Top Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Motor Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Motor Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Black Motor-1/DJI S900 Motor Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Black Motor-1/DJI S900 Motor Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Black Motor-1/DJI S900 Motor Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Black Motor-1/DJI S900 Motor Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Black Motor-1/DJI S900 Encasement Arm Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Black Motor-1/DJI S900 Encasement Arm Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Black Motor-1/DJI S900 Encasement Arm Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Black Motor-1/DJI S900 Encasement Arm Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Encasement Arm Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Encasement Arm Bottom Frame-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Center Frame Bottom Cap-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Center Frame Bottom Board-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Right MIRROR-4;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Frame Connection Rod-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Frame Connection Rod-3;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Frame Connection Rod-5;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Right MIRROR-3;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Frame Connection Rod-6;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Left-4;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Left-5;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Right MIRROR-5;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Bracket Screw-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Left-3;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Bracket Screw-6;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Battery Holder Support MIRROR-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Bracket Screw-5;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Left-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Bracket Screw-4;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Right MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Left-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Frame Connection Rod-4;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Right MIRROR-6;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Left-6;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Bracket Screw-3;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Frame Connection Rod-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Bracket Screw-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 Arm Mounting Bracket Right MIRROR-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 PCB-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Gear Block MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Block Support Bar-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Battery Holder Support MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Battery Holder Support-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Gear Block MIRROR-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Block Support Bar-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Battery Holder Support-2;DJI S900 Pre-Finished-1/DJI S900 Landing Bracket Attachment Piece-2;DJI S900 Pre-Finished-1/DJI S900 Landing Bracket Attachment Piece-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Arm Adapter MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Bracket MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-1/HS-7954SH servo-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-1/DJI S900 Servo Grommet-3;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-1/DJI S900 Servo Grommet-4;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-1/DJI S900 Servo Grommet-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-1/DJI S900 Servo Grommet-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 A2 LED-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Bracket-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-2/HS-7954SH servo-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-2/DJI S900 Servo Grommet-4;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-2/DJI S900 Servo Grommet-3;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-2/DJI S900 Servo Grommet-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Assembly-2/DJI S900 Servo Grommet-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Swing MIRROR-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Swing Servo Support MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Servo Arm Adapter-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Swing Support-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Brass Bar on Landing Bracket-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Tube Clamp-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 A2 PMU-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 A2 Controller-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Tube Clamp-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Swing MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Swing Servo Support-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Swing Support-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Spreader Tube-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Brass Bar on Landing Bracket-1;深度相机S900安装-1/底板-1,坐标系base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rotor_1_link,0.00086471,0.00049638,-0.017044,0,0,0,0.021154,9.7523E-06,4.5374E-06,-1.105E-07,5.1094E-06,-4.104E-08,1.4591E-05,0,0,0,0,0,0,package://myam_sys/meshes/rotor_1_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://myam_sys/meshes/rotor_1_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Red Prop Cover-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Propellor CW MIRROR-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Propellor CW MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Black Prop Cover (Underside)-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW Red-1/DJI S900 Motor Cage-1,坐标系rotor1,基准轴1,rotor_1_joint,continuous,0.34877,0.20136,0.041041,0,0,0,base_link,-0.048924,-0.028246,0.9984,,,,,,,,,,,,
rotor_2_link,0.000921,-0.0005394,-0.016732,0,0,0,0.021907,1.2151E-05,-6.0793E-06,-1.111E-07,6.1483E-06,3.528E-08,1.8022E-05,0,0,0,0,0,0,package://myam_sys/meshes/rotor_2_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://myam_sys/meshes/rotor_2_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Red Prop Cover-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Black Prop Cover (Underside)-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Propellor CCW-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Propellor CCW-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Red-1/DJI S900 Motor Cage-1,坐标系rotor2,基准轴2,rotor_2_joint,continuous,0.3488,-0.20138,0.040896,0,0,0,base_link,-0.048454,0.027975,0.99843,,,,,,,,,,,,
rotor_3_link,0.00013242,-0.00092207,-0.0171,0,0,0,0.021043,2.343E-06,-3.5166E-07,2.5278E-08,1.1905E-05,1.2057E-07,1.3977E-05,0,0,0,0,0,0,package://myam_sys/meshes/rotor_3_link.STL,1,1,1,1,0,0,0,0,0,0,package://myam_sys/meshes/rotor_3_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Propellor CW MIRROR-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Propellor CW MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Black Motor-1/DJI S900 Black Prop Cover-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Black Motor-1/DJI S900 Black Prop Cover (Underside)-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-1/DJI S900 Black Motor-1/DJI S900 Motor Cage-1,坐标系rotor3,基准轴3,rotor_3_joint,continuous,0,-0.40268,0.041175,0,0,0,base_link,0,0.056997,0.99837,,,,,,,,,,,,
rotor_4_link,-0.00095797,-0.00054628,-0.016731,0,0,0,0.021907,1.2729E-05,5.7553E-06,8.9654E-08,5.57E-06,6.6405E-08,1.8023E-05,0,0,0,0,0,0,package://myam_sys/meshes/rotor_4_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://myam_sys/meshes/rotor_4_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Black Motor-1/DJI S900 Black Prop Cover-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Propellor CCW-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Propellor CCW-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Black Motor-1/DJI S900 Black Prop Cover (Underside)-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-1/DJI S900 Black Motor-1/DJI S900 Motor Cage-1,坐标系rotor4,基准轴4,rotor_4_joint,continuous,-0.34883,-0.2014,0.040769,0,0,0,base_link,0.048041,0.027736,0.99846,,,,,,,,,,,,
rotor_5_link,-0.00078667,0.00047059,-0.017046,0,0,0,0.021159,1.0284E-05,-4.2421E-06,9.245E-08,4.5973E-06,-8.1212E-08,1.4609E-05,0,0,0,0,0,0,package://myam_sys/meshes/rotor_5_link.STL,1,1,1,1,0,0,0,0,0,0,package://myam_sys/meshes/rotor_5_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Propellor CW MIRROR-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Propellor CW MIRROR-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Black Motor-1/DJI S900 Black Prop Cover-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Black Motor-1/DJI S900 Black Prop Cover (Underside)-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CW black-2/DJI S900 Black Motor-1/DJI S900 Motor Cage-1,坐标系rotor5,基准轴5,rotor_5_joint,continuous,-0.34873,0.20134,0.041175,0,0,0,base_link,0.049361,-0.028499,0.99837,,,,,,,,,,,,
rotor_6_link,4.2471E-06,0.0011028,-0.01673,0,0,0,0.021907,2.3754E-06,2.222E-07,1.2652E-08,1.5929E-05,-1.1083E-07,1.8028E-05,0,0,0,0,0,0,package://myam_sys/meshes/rotor_6_link.STL,1,1,1,1,0,0,0,0,0,0,package://myam_sys/meshes/rotor_6_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Propellor CCW-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Propellor CCW-2;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Black Motor-1/DJI S900 Black Prop Cover-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Black Motor-1/DJI S900 Black Prop Cover (Underside)-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 CCW Black-2/DJI S900 Black Motor-1/DJI S900 Motor Cage-1,坐标系rotor6,基准轴6,rotor_6_joint,continuous,0,0.4028,0.040769,0,0,0,base_link,0,-0.055473,0.99846,,,,,,,,,,,,
gps_link,-9.2484E-05,-7.0948E-06,-0.047946,0,0,0,0.021692,7.1143E-06,1.9861E-10,-6.8846E-08,7.3732E-06,1.3427E-10,7.731E-06,0,0,0,0,0,0,package://myam_sys/meshes/gps_link.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://myam_sys/meshes/gps_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 GPS Mount Assembly-1/DJI S900 Center Frame Mount-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 GPS Mount Assembly-1/DJI S900 Rod Attatchment-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 GPS Mount Assembly-1/DJI S900 GPS Rod-1;DJI S900 Pre-Finished-1/DJI S900 GPS Compass-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 GPS Mount Assembly-1/DJI S900 Screw for Mount-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 GPS Mount Assembly-1/DJI S900 Rotating Pin GPS-1;DJI S900 Pre-Finished-1/DJI S900 Assembly of Frames and Wings-1/DJI S900 GPS Mount Assembly-1/DJI S900 GPS Attatchment-1,坐标系gps,,gps_joint,fixed,-0.00040701,1.327E-05,0.17697,0,0,0,base_link,0,0,0,,,,,,,,,,,,
landing_gear_1_link,-6.9473E-05,-0.024646,0.05428,0,0,0,0.066432,0.00015527,-3.0385E-08,6.9106E-08,0.00049779,5.5916E-05,0.00040082,0,0,0,0,0,0,package://myam_sys/meshes/landing_gear_1_link.STL,1,1,1,1,0,0,0,0,0,0,package://myam_sys/meshes/landing_gear_1_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Leg-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Skid-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Rubber Landing Cap-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Rubber Landing Cap-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Foot Bracket-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Leg Damper-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Spring Bracket-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Spring-1;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Wire-1,坐标系左脚架,,landing_gear_1_joint,fixed,-1.3008E-05,0.21064,-0.40283,0,0,0,base_link,0,0,0,,,,,,,,,,,,
landing_gear_2_link,-6.9052E-05,0.024604,0.0543,0,0,0,0.066432,0.00015527,3.3281E-08,6.8002E-08,0.00049778,-5.592E-05,0.00040082,0,0,0,0,0,0,package://myam_sys/meshes/landing_gear_2_link.STL,1,1,1,1,0,0,0,0,0,0,package://myam_sys/meshes/landing_gear_2_link.STL,,DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Wire-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Spring-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Leg-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Spring Bracket-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Leg Damper-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Foot Bracket-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Landing Skid-2;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Rubber Landing Cap-4;DJI S900 Pre-Finished-1/DJI S900 Lower Assembly-1/DJI S900 Rubber Landing Cap-3,坐标系右脚架,,landing_gear_2_joint,fixed,-1.3008E-05,-0.21064,-0.40283,0,0,0,base_link,0,0,0,,,,,,,,,,,,
